mtry,splitrule,min.node.size,Accuracy,Kappa,AccuracySD,KappaSD,n_tree,is_best,running_time
10,gini,5,0.896367783801192,0.774936606220376,0.0023034388838874,0.00511342219963956,50,1,3.10801076889038
10,extratrees,1,0.896555170582658,0.77492667099627,0.000199860483603129,0.000872354489283278,500,0,NA
10,extratrees,5,0.896480208849795,0.774866399373335,0.000825102160379573,0.0024071798037181,500,0,NA
10,gini,5,0.896305321280694,0.77476237689631,0.00204194769540434,0.00474641185675367,500,0,NA
10,gini,1,0.896205399344609,0.774531036224993,0.00184335872053025,0.00438990405805137,500,0,NA
10,gini,1,0.896080513305148,0.774226896734198,0.00252228733709401,0.00545148182539104,50,0,NA
10,extratrees,1,0.896080528125732,0.774190425677099,0.00240999958063208,0.00479373719953035,50,0,NA
10,extratrees,5,0.895730784188759,0.773780663180536,0.00161101855288181,0.00322044038911525,50,0,NA
19,extratrees,5,0.89459415383507,0.77075084987445,0.00194967261182918,0.00429595975761389,50,0,NA
19,extratrees,5,0.894107056627532,0.76972426397532,0.0015860438132345,0.00369864162100728,500,0,NA
10,gini,5,0.892158578873876,0.76570454890797,0.000626314438274739,0.00156418251935045,5,0,NA
19,gini,5,0.892245981316798,0.765573885960766,0.00271008822105332,0.0064106526598195,500,0,NA
10,extratrees,1,0.892058697499388,0.765496301508976,0.00410734579092157,0.00877560278270637,5,0,NA
19,gini,5,0.89223349926511,0.765402586669265,0.00263463988732765,0.00578968373901404,50,0,NA
10,extratrees,5,0.89155906285798,0.764534172215088,0.00126117822146148,0.00267767701869306,5,0,NA
19,extratrees,1,0.891946200687959,0.764466689351641,0.00201355988033327,0.00435692065339403,50,0,NA
19,extratrees,1,0.89175888488929,0.764287938722991,0.00214780077518142,0.00499912498309344,500,0,NA
10,gini,1,0.891596555034857,0.7639350445155,0.00183009597192996,0.00438130227931673,5,0,NA
19,gini,1,0.891346665951327,0.763129299989087,0.00226255004452429,0.00483915288260925,50,0,NA
19,extratrees,5,0.890947040609445,0.76267262598307,0.00100984814323633,0.00209427001720725,5,0,NA
19,gini,1,0.890772123399176,0.762113617119823,0.00275840407112991,0.00638017600657313,500,0,NA
19,extratrees,1,0.888973573791429,0.757893953965088,0.00196715782056499,0.00470542248389196,5,0,NA
19,gini,5,0.888636327506759,0.757514285037825,0.00125558855581069,0.00287485835657569,5,0,NA
19,gini,1,0.887187464113711,0.754478198849924,0.00181465818200436,0.00413368587283931,5,0,NA
2,gini,1,0.871774357266772,0.71730904104509,0.00601451273409064,0.0141819309310235,50,0,NA
2,gini,1,0.868601820975491,0.708619955345592,0.00274320998072133,0.00705809555499917,500,0,NA
2,gini,5,0.868314582460706,0.708107048740633,0.00120302224702246,0.00303050918394851,500,0,NA
2,gini,5,0.867902278499394,0.707118658919085,0.0070438124160407,0.0166919025906962,50,0,NA
2,gini,1,0.863480747648219,0.698151963211744,0.00412261670435302,0.0114562105997475,5,0,NA
2,gini,5,0.860258258969234,0.698121239757901,0.0113183148801616,0.0190562413690052,5,0,NA
2,extratrees,5,0.840648607093671,0.63366852842672,0.00701263411763018,0.0194752625987109,500,0,NA
2,extratrees,1,0.840598706187995,0.633191516735702,0.00727700997917978,0.018872448498794,500,0,NA
2,extratrees,5,0.835015796168236,0.622549044363713,0.0198975859613148,0.0537956280723941,5,0,NA
2,extratrees,1,0.833828523099651,0.61461482976778,0.0165852355668171,0.0441875875599666,50,0,NA
2,extratrees,5,0.83261708155903,0.611526952856077,0.0165009007124203,0.0459739891799704,50,0,NA
2,extratrees,1,0.812782692690717,0.558526459502294,0.0350755683577672,0.0974728814687645,5,0,NA
